,PC1,PC2
CH3,-0.5779005545757239,-0.326237005977195
CH14,-0.08897124138817325,0.9253301249461723
CH17,-0.44990189264677916,0.190855569783018
CH22,0.6750580376676981,-0.030128512756799286
