,PC1,PC2
WSEARNAGLAB,-0.5606506498168777,-0.22484735086101
WSEARNNONAG,-0.548879284857186,-0.0168457784701445
WSEARNSALARY,-0.025120409218531897,0.9575533014348475
WSEARNNREGA,0.6194928123515805,-0.17958720296765165
