,PC1,PC2
INCNONAG,-0.5149531186338497,-0.5013123917875316
INCAGLAB,-0.2419226548176973,0.7849836816921302
INCSALARY,0.666215294392739,-0.2750049090906438
INCNREGA,-0.4821347282787518,-0.23845084460613603
