,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.0028490726709340525,0.025572582470196236,0.11141122232197417,0.9112902613380846,-0.0472722679623309,0.05297041330419901
MB3,1.5835071706555621,0.17072040322042079,9.275441838144337,1.7688438212033423e-20,1.2489013289173816,1.9181130123937427
MB4,3.3615873353194603,0.16973670493361742,19.80471658522032,2.7108401656289707e-87,3.028909506795068,3.6942651638438524
MB5,2.047454561967567,0.11027612247291009,18.566617288076436,5.985720285795761e-77,1.831317333565935,2.2635917903691984
MB6,2.7747232516450295,0.1695311467588375,16.367041128979952,3.288160013352681e-60,2.442448309739934,3.106998193550125
MB7,1.9471307240932458,0.1785737944870817,10.903787589248457,1.1055721974974459e-27,1.5971325183159084,2.297128929870583
MB8,2.315865499070959,0.4284477424026959,5.405246124261961,6.471946039616832e-08,1.4761233547041803,3.1556076434377376
MB9,2.6370822435270513,1.0121593293078475,2.6054022989941585,0.009176644106439202,0.6532864114674539,4.620878075586649
MB10,2.7905515313974196,0.12340515837801848,22.612924516893504,3.2338674346407827e-113,2.548681865470042,3.032421197324797
MB11,1.042505112051074,0.442794818274187,2.3543751395156005,0.018553875829200674,0.17464321569270935,1.9103670084094386
MB12,1.7218087396280841,0.5016774147698745,3.4321033575288586,0.0005989192564363968,0.7385390748219676,2.7050784044342007
MB13,3.320238347375847,0.3617223260766785,9.178969911500618,4.3523476786684984e-20,2.6112756158615036,4.029201078890191
MB14,2.924934915903591,0.3011114713799124,9.713794371564145,2.633469925972178e-22,2.3347672766670997,3.5151025551400825
MB15,1.5531669160683688,1.6917923432065187,0.9180600221446753,0.35858744309340596,-1.7626851459370343,4.869018978073772
MB16,3.4291490914997995,0.19470152782399613,17.612337868245383,1.9809164542185002e-69,3.0475411092298437,3.8107570737697554
MB17,3.618392352261313,0.0397205407135787,91.09625114001392,0.0,3.540541523016242,3.696243181506384
RO5,0.005274290195175016,0.000593606937950201,8.88515591375633,6.383118743400825e-19,0.0041108419758195194,0.0064377384145305125
RO3,-0.0026719324292989502,0.01590248548385281,-0.16801979992448338,0.8665677024271213,-0.033840231242321474,0.028496366383723572
ED2,0.0,0.0,,,0.0,0.0
ED3,0.0,0.0,,,0.0,0.0
ED4,0.0,0.0,,,0.0,0.0
