,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.02993179764084741,0.02087179731600058,1.4340785888094707,0.15154983724009383,-0.010976173391133496,0.07083976867282832
SM4,3.9587683661266375,0.04836575625891828,81.85064542222827,0.0,3.863973225774115,4.05356350647916
SM5,0.9034998933102687,0.05866189351740703,15.401819462956286,1.591281244361668e-53,0.7885246947512272,1.0184750918693102
SM6,0.36409187335054527,0.04580720508010871,7.948353817130141,1.8900619279077818e-15,0.274311401161092,0.45387234553999856
SM7,0.8133652075356961,0.07021394566179573,11.58409771548073,4.961634659186598e-31,0.675748402826124,0.9509820122452681
SM8,0.4034471460115598,0.1482660078856979,2.7211034529410654,0.006506439588360853,0.11285111042406026,0.6940431815990593
RO5,0.001931240545470795,0.0003291433976988977,5.867474659897341,4.4248260572244126e-09,0.0012861313402318117,0.002576349750709778
RO3,0.008415590045709803,0.012459012231825458,0.6754620582370818,0.4993822492498854,-0.016003625211612096,0.0328348053030317
ED2,0.0,0.0,,,0.0,0.0
ED3,0.0,0.0,,,0.0,0.0
ED4,0.0,0.0,,,0.0,0.0
